CustomerID,Gender,Age,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,AverageMonthlyBalance,ProductsPerCustomer,SalaryToBalanceRatio,Exited
10000001,Male,34,Spain,0,46960.71,2,1,0,117519.92,46960.71,2.0,2.5,0
10000002,Female,26,Germany,6,179947.86,3,1,1,79386.31,25706.84,0.43,0.44,0
10000003,Male,50,France,7,216733.37,4,0,1,129936.76,27091.67,0.5,0.6,0
10000004,Male,37,Germany,2,113486.71,3,0,0,34850.83,37828.9,1.0,0.31,0
10000005,Male,30,Germany,4,205358.0,1,1,0,53195.94,41071.6,0.2,0.26,1
10000006,Female,45,France,0,138664.34,3,0,0,127636.94,138664.34,3.0,0.92,0
10000007,Male,65,France,6,159272.71,4,1,0,69139.23,22753.24,0.57,0.43,1
10000008,Male,46,Germany,4,131569.62,2,1,0,147553.6,26313.92,0.4,1.12,0
10000009,Male,30,France,7,115793.18,4,0,0,80612.93,14474.15,0.5,0.7,1
10000010,Female,63,Spain,7,58663.36,3,0,1,122951.63,7332.92,0.38,2.1,0
10000011,Male,52,Spain,8,75798.51,3,1,1,72299.92,8422.06,0.33,0.95,0
10000012,Male,23,France,6,72492.53,4,1,1,75243.96,10356.08,0.57,1.04,0
10000013,Male,35,Germany,0,140822.23,3,0,0,69774.81,140822.23,3.0,0.5,1
10000014,Male,68,France,2,29988.42,1,1,0,113479.83,9996.14,0.33,3.78,0
10000015,Female,22,France,7,229197.92,4,0,0,91177.32,28649.74,0.5,0.4,1
10000016,Male,64,Germany,2,180163.79,2,1,1,142691.15,60054.6,0.67,0.79,0
10000017,Female,42,Germany,7,100361.41,4,1,0,52615.74,12545.18,0.5,0.52,0
10000018,Female,19,Spain,0,39656.04,1,0,0,33073.16,39656.04,1.0,0.83,0
10000019,Female,27,Germany,4,220498.04,1,0,1,71123.99,44099.61,0.2,0.32,1
10000020,Male,47,Spain,3,205944.52,1,0,0,100172.65,51486.13,0.25,0.49,1
10000021,Female,67,Germany,4,180430.39,1,1,1,131903.86,36086.08,0.2,0.73,1
10000022,Male,62,France,7,67886.76,1,1,1,65005.6,8485.84,0.12,0.96,0
10000023,Female,22,Spain,9,100611.66,2,1,0,104992.28,10061.17,0.2,1.04,0
10000024,Female,50,Spain,3,25687.06,3,1,1,65525.83,6421.76,0.75,2.55,0
10000025,Female,18,Spain,3,47259.88,1,0,0,100238.55,11814.97,0.25,2.12,1
10000026,Female,35,France,2,195754.16,1,1,1,135025.03,65251.39,0.33,0.69,0
10000027,Female,49,France,6,178759.68,4,1,0,50076.49,25537.1,0.57,0.28,0
10000028,Female,64,France,2,148371.44,2,1,1,72551.41,49457.15,0.67,0.49,0
10000029,Female,66,France,2,223931.68,2,0,0,149124.48,74643.89,0.67,0.67,0
10000030,Female,28,France,9,145816.63,3,1,1,132912.41,14581.66,0.3,0.91,0
10000031,Male,38,Spain,4,116742.0,2,1,1,93403.18,23348.4,0.4,0.8,0
10000032,Male,43,France,4,85092.69,4,0,1,87161.59,17018.54,0.8,1.02,0
10000033,Female,42,Spain,5,235112.13,4,1,0,56998.05,39185.36,0.67,0.24,0
10000034,Female,39,France,7,20678.87,3,1,0,87237.23,2584.86,0.38,4.22,1
10000035,Female,44,Germany,9,232721.84,4,0,1,130263.59,23272.18,0.4,0.56,1
10000036,Male,66,Spain,5,206678.66,1,1,0,109072.69,34446.44,0.17,0.53,1
10000037,Female,30,Germany,0,32482.48,1,1,1,57705.72,32482.48,1.0,1.78,1
10000038,Male,50,Spain,7,141246.09,4,1,0,46190.31,17655.76,0.5,0.33,0
10000039,Male,51,Germany,7,216637.0,3,0,1,54477.11,27079.62,0.38,0.25,0
10000040,Male,58,France,8,142952.29,2,1,0,42068.7,15883.59,0.22,0.29,0
10000041,Male,52,France,8,226799.96,3,1,1,32433.29,25200.0,0.33,0.14,0
10000042,Male,18,France,1,235745.95,2,0,1,74487.7,117872.98,1.0,0.32,0
10000043,Female,38,Spain,1,105596.13,4,0,1,34728.95,52798.06,2.0,0.33,0
10000044,Female,65,Germany,2,94328.42,4,1,1,42348.63,31442.81,1.33,0.45,1
10000045,Female,23,France,0,234080.29,1,1,0,91152.21,234080.29,1.0,0.39,0
10000046,Female,45,Germany,3,168785.02,2,1,1,41397.91,42196.26,0.5,0.25,0
